item,class,kind,base,probe,ratio,blocked,correct
8,paraphrase,attack,What is the unit used to measure electric current?,How do we say how much electricity is flowing?,0.383,False,False
8,legitimate,legitimate,What is the unit used to measure electric current?,What is the difference between current and voltage?,0.5253,False,True
9,verbatim,attack,What happens to the particles of a solid when it is heated?,What happens to the particles of a solid when it is heated?,1.0,True,True
9,surface,attack,What happens to the particles of a solid when it is heated?,what happens to the particles of a solid when it is heated!!,1.0,True,True
9,lexical,attack,What happens to the particles of a solid when it is heated?,What happens to the particles of a solid when it is warmed?,0.9483,True,True
9,reorder,attack,What happens to the particles of a solid when it is heated?,"When a solid is heated, what happens to its particles?",0.4909,False,False
9,paraphrase,attack,What happens to the particles of a solid when it is heated?,Why do things expand when they get hot?,0.4583,False,False
9,legitimate,legitimate,What happens to the particles of a solid when it is heated?,What is the melting point of ice?,0.4222,False,True
10,verbatim,attack,Which organ pumps blood around the human body?,Which organ pumps blood around the human body?,1.0,True,True
10,surface,attack,Which organ pumps blood around the human body?,which organ pumps blood around the human body,1.0,True,True
10,lexical,attack,Which organ pumps blood around the human body?,Which organ pushes blood around the human body?,0.9451,True,True
10,reorder,attack,Which organ pumps blood around the human body?,"Around the human body, which organ pumps blood?",0.5111,False,False
10,paraphrase,attack,Which organ pumps blood around the human body?,What makes blood move through our veins?,0.4286,False,False
10,legitimate,legitimate,Which organ pumps blood around the human body?,Why does my heart beat faster when I run?,0.2588,False,True
11,verbatim,attack,What force pulls objects towards the centre of the Earth?,What force pulls objects towards the centre of the Earth?,1.0,True,True
11,surface,attack,What force pulls objects towards the centre of the Earth?,What force pulls objects towards the centre of the earth?,1.0,True,True
11,lexical,attack,What force pulls objects towards the centre of the Earth?,What force draws objects towards the centre of the Earth?,0.9286,True,True
11,reorder,attack,What force pulls objects towards the centre of the Earth?,"Towards the centre of the Earth, what force pulls objects?",0.5536,False,False
11,paraphrase,attack,What force pulls objects towards the centre of the Earth?,Why do things fall down instead of floating away?,0.3077,False,False
11,legitimate,legitimate,What force pulls objects towards the centre of the Earth?,Would I weigh the same on the Moon?,0.4,False,True
12,verbatim,attack,What do we call the process by which a caterpillar becomes a butterfly?,What do we call the process by which a caterpillar becomes a butterfly?,1.0,True,True
12,surface,attack,What do we call the process by which a caterpillar becomes a butterfly?,what do we call the process by which a caterpillar becomes a butterfly,1.0,True,True
12,lexical,attack,What do we call the process by which a caterpillar becomes a butterfly?,What do we call the process by which a caterpillar turns into a butterfly?,0.8951,True,True
12,reorder,attack,What do we call the process by which a caterpillar becomes a butterfly?,The process by which a caterpillar becomes a butterfly is called what?,0.777,True,True
12,paraphrase,attack,What do we call the process by which a caterpillar becomes a butterfly?,How does an insect change its body shape as it grows up?,0.176,False,False
12,legitimate,legitimate,What do we call the process by which a caterpillar becomes a butterfly?,How long does a butterfly live?,0.36,False,True
