set,grade,topic,best_distance,expected,would,ok
off_syllabus,7,Crystal healing energy fields,1.3821,refuse,refuse,True
off_syllabus,8,Crystal healing energy fields,1.3486,refuse,refuse,True
off_syllabus,9,Crystal healing energy fields,1.445,refuse,refuse,True
off_syllabus,6,Perpetual motion machines that create free energy,1.1713,refuse,refuse,True
off_syllabus,7,Perpetual motion machines that create free energy,1.0148,refuse,ACCEPT,False
off_syllabus,8,Perpetual motion machines that create free energy,1.4031,refuse,refuse,True
off_syllabus,9,Perpetual motion machines that create free energy,1.1835,refuse,refuse,True
off_syllabus,6,Quantum entanglement and Bell's inequality,1.6444,refuse,refuse,True
off_syllabus,7,Quantum entanglement and Bell's inequality,1.5955,refuse,refuse,True
off_syllabus,8,Quantum entanglement and Bell's inequality,1.6576,refuse,refuse,True
off_syllabus,9,Quantum entanglement and Bell's inequality,1.6505,refuse,refuse,True
off_syllabus,6,CRISPR-Cas9 gene editing mechanisms,1.7904,refuse,refuse,True
off_syllabus,7,CRISPR-Cas9 gene editing mechanisms,1.6455,refuse,refuse,True
off_syllabus,8,CRISPR-Cas9 gene editing mechanisms,1.7199,refuse,refuse,True
off_syllabus,9,CRISPR-Cas9 gene editing mechanisms,1.6775,refuse,refuse,True
off_syllabus,6,General relativity and spacetime curvature,1.7043,refuse,refuse,True
off_syllabus,7,General relativity and spacetime curvature,1.3464,refuse,refuse,True
off_syllabus,8,General relativity and spacetime curvature,1.5362,refuse,refuse,True
off_syllabus,9,General relativity and spacetime curvature,1.4699,refuse,refuse,True
off_syllabus,6,Organic reaction mechanisms and nucleophilic substitution,1.558,refuse,refuse,True
off_syllabus,7,Organic reaction mechanisms and nucleophilic substitution,1.6017,refuse,refuse,True
off_syllabus,8,Organic reaction mechanisms and nucleophilic substitution,1.4194,refuse,refuse,True
off_syllabus,9,Organic reaction mechanisms and nucleophilic substitution,1.4636,refuse,refuse,True
off_syllabus,6,Polymerase chain reaction and DNA amplification,1.6898,refuse,refuse,True
off_syllabus,7,Polymerase chain reaction and DNA amplification,1.6755,refuse,refuse,True
off_syllabus,8,Polymerase chain reaction and DNA amplification,1.5521,refuse,refuse,True
off_syllabus,9,Polymerase chain reaction and DNA amplification,1.5691,refuse,refuse,True
off_syllabus,6,Semiconductor doping and p-n junction physics,1.4989,refuse,refuse,True
off_syllabus,7,Semiconductor doping and p-n junction physics,1.6497,refuse,refuse,True
off_syllabus,8,Semiconductor doping and p-n junction physics,1.284,refuse,refuse,True
off_syllabus,9,Semiconductor doping and p-n junction physics,1.562,refuse,refuse,True
off_syllabus,6,Enzyme kinetics and the Michaelis-Menten equation,1.5292,refuse,refuse,True
off_syllabus,7,Enzyme kinetics and the Michaelis-Menten equation,1.4568,refuse,refuse,True
off_syllabus,8,Enzyme kinetics and the Michaelis-Menten equation,1.2371,refuse,refuse,True
off_syllabus,9,Enzyme kinetics and the Michaelis-Menten equation,1.3495,refuse,refuse,True
off_syllabus,6,Stellar nucleosynthesis and the CNO cycle,1.5625,refuse,refuse,True
off_syllabus,7,Stellar nucleosynthesis and the CNO cycle,1.5482,refuse,refuse,True
off_syllabus,8,Stellar nucleosynthesis and the CNO cycle,1.3601,refuse,refuse,True
off_syllabus,9,Stellar nucleosynthesis and the CNO cycle,1.2712,refuse,refuse,True
off_syllabus,6,Thermodynamic entropy and the Carnot cycle,1.4982,refuse,refuse,True
off_syllabus,7,Thermodynamic entropy and the Carnot cycle,1.3318,refuse,refuse,True
off_syllabus,8,Thermodynamic entropy and the Carnot cycle,1.4423,refuse,refuse,True
off_syllabus,9,Thermodynamic entropy and the Carnot cycle,1.4948,refuse,refuse,True
off_syllabus,6,Nuclear fission reactor control rod design,1.5534,refuse,refuse,True
off_syllabus,7,Nuclear fission reactor control rod design,1.4664,refuse,refuse,True
off_syllabus,8,Nuclear fission reactor control rod design,1.5253,refuse,refuse,True
off_syllabus,9,Nuclear fission reactor control rod design,1.4556,refuse,refuse,True
off_syllabus,6,Water polo training techniques,1.5663,refuse,refuse,True
off_syllabus,7,Water polo training techniques,1.4162,refuse,refuse,True
off_syllabus,8,Water polo training techniques,1.345,refuse,refuse,True
off_syllabus,9,Water polo training techniques,1.4877,refuse,refuse,True
off_syllabus,6,Light novels and Japanese publishing,1.4019,refuse,refuse,True
off_syllabus,7,Light novels and Japanese publishing,1.4419,refuse,refuse,True
off_syllabus,8,Light novels and Japanese publishing,1.5129,refuse,refuse,True
off_syllabus,9,Light novels and Japanese publishing,1.3517,refuse,refuse,True
off_syllabus,6,Energy drinks and caffeine marketing,1.4178,refuse,refuse,True
off_syllabus,7,Energy drinks and caffeine marketing,1.2633,refuse,refuse,True
off_syllabus,8,Energy drinks and caffeine marketing,1.5837,refuse,refuse,True
off_syllabus,9,Energy drinks and caffeine marketing,1.402,refuse,refuse,True
off_syllabus,6,Food delivery supply chains,1.2795,refuse,refuse,True
off_syllabus,7,Food delivery supply chains,1.3904,refuse,refuse,True
off_syllabus,8,Food delivery supply chains,1.0662,refuse,ACCEPT,False
off_syllabus,9,Food delivery supply chains,1.0004,refuse,ACCEPT,False
off_syllabus,6,Cloud computing storage services,1.6042,refuse,refuse,True
off_syllabus,7,Cloud computing storage services,1.5583,refuse,refuse,True
off_syllabus,8,Cloud computing storage services,1.5761,refuse,refuse,True
off_syllabus,9,Cloud computing storage services,1.469,refuse,refuse,True
off_syllabus,6,Solar panel installation business models,1.2281,refuse,refuse,True
off_syllabus,7,Solar panel installation business models,1.0103,refuse,ACCEPT,False
off_syllabus,8,Solar panel installation business models,1.4751,refuse,refuse,True
off_syllabus,9,Solar panel installation business models,1.2486,refuse,refuse,True
off_syllabus,6,Plant-based meat product development,1.2787,refuse,refuse,True
off_syllabus,7,Plant-based meat product development,1.2919,refuse,refuse,True
off_syllabus,8,Plant-based meat product development,1.1945,refuse,refuse,True
off_syllabus,9,Plant-based meat product development,1.2712,refuse,refuse,True
off_syllabus,6,Magnetic resonance imaging hospital procurement,1.6907,refuse,refuse,True
off_syllabus,7,Magnetic resonance imaging hospital procurement,1.5859,refuse,refuse,True
off_syllabus,8,Magnetic resonance imaging hospital procurement,1.6162,refuse,refuse,True
off_syllabus,9,Magnetic resonance imaging hospital procurement,1.7183,refuse,refuse,True
off_syllabus,6,Circuit court legal procedure,1.5611,refuse,refuse,True
off_syllabus,7,Circuit court legal procedure,1.639,refuse,refuse,True
off_syllabus,8,Circuit court legal procedure,1.4009,refuse,refuse,True
off_syllabus,9,Circuit court legal procedure,1.6563,refuse,refuse,True
off_syllabus,6,Sound engineering and studio mixing,1.3311,refuse,refuse,True
off_syllabus,7,Sound engineering and studio mixing,1.3419,refuse,refuse,True
off_syllabus,8,Sound engineering and studio mixing,1.4726,refuse,refuse,True
off_syllabus,9,Sound engineering and studio mixing,1.5099,refuse,refuse,True
off_syllabus,6,asdfghjkl qwerty,1.5765,refuse,refuse,True
off_syllabus,7,asdfghjkl qwerty,1.2667,refuse,refuse,True
off_syllabus,8,asdfghjkl qwerty,1.2919,refuse,refuse,True
off_syllabus,9,asdfghjkl qwerty,1.3545,refuse,refuse,True
off_syllabus,6,the the the and and,1.6756,refuse,refuse,True
off_syllabus,7,the the the and and,1.5994,refuse,refuse,True
off_syllabus,8,the the the and and,1.5991,refuse,refuse,True
off_syllabus,9,the the the and and,1.5512,refuse,refuse,True
off_syllabus,6,12345 67890,1.7154,refuse,refuse,True
off_syllabus,7,12345 67890,1.7767,refuse,refuse,True
off_syllabus,8,12345 67890,1.7891,refuse,refuse,True
off_syllabus,9,12345 67890,1.6145,refuse,refuse,True
off_syllabus,6,zzzzz,1.6529,refuse,refuse,True
off_syllabus,7,zzzzz,1.5984,refuse,refuse,True
off_syllabus,8,zzzzz,1.6204,refuse,refuse,True
off_syllabus,9,zzzzz,1.5943,refuse,refuse,True
off_syllabus,6,How do I hack a school computer,1.6218,refuse,refuse,True
off_syllabus,7,How do I hack a school computer,1.5044,refuse,refuse,True
off_syllabus,8,How do I hack a school computer,1.3499,refuse,refuse,True
off_syllabus,9,How do I hack a school computer,1.5875,refuse,refuse,True
grade_boundary,6,Atomic structure,1.3815,refuse,refuse,True
grade_boundary,6,Electromagnetism,1.2081,refuse,refuse,True
grade_boundary,6,Heredity and genetics,1.4422,refuse,refuse,True
grade_boundary,6,The periodic table of elements,1.437,refuse,refuse,True
grade_boundary,6,Chemical reactions and equations,1.3605,refuse,refuse,True
grade_boundary,6,The human nervous system,1.4282,refuse,refuse,True
grade_boundary,6,Acids bases and indicators,1.3762,refuse,refuse,True
grade_boundary,6,Electric circuits,0.7061,refuse,ACCEPT,False
grade_boundary,6,Rheostat,1.4063,refuse,refuse,True
grade_boundary,6,Respiration in living organisms,0.8899,refuse,ACCEPT,False
grade_boundary,7,Atomic structure,1.4262,refuse,refuse,True
grade_boundary,7,Electromagnetism,1.2624,refuse,refuse,True
grade_boundary,7,The periodic table of elements,1.4456,refuse,refuse,True
grade_boundary,7,Heredity and genetics,1.5182,refuse,refuse,True
grade_boundary,7,Rheostat,1.4962,refuse,refuse,True
grade_boundary,6,Work power and energy,0.7393,refuse,ACCEPT,False
grade_boundary,6,Waves and their properties,1.3637,refuse,refuse,True
grade_boundary,6,Reflection of light and mirrors,1.0427,refuse,ACCEPT,False
grade_boundary,6,Elements compounds and mixtures,1.2477,refuse,refuse,True
grade_boundary,6,The circulatory system,1.4579,refuse,refuse,True
